reference_id,date,time_of_day,time_of_day_recode,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_coastal_state_cow_code,latitude,longitude,location_precision,geolocation_source_imb,geolocation_source_imo,geolocation_source_asam,location_description,vessel_name,vessel_country,vessel_country_cow_code,vessel_status,violence_dummy,steaming_recode,incident_type_recode,incident_action_recode
"5004","11/2/2010","5:50","4",,"Fired Upon","Kenya","Kenya","501","-4.0167","41.6333","1","1",".",".","(Off Mombasa, Kenya), Off Somalia","Majestic","Panama","95","Steaming","1","1",,"3"
"5007","11/2/2010","3:00","4",,"Fired Upon","Kenya","Kenya","501","-3.9767","43.8167","1","1",".",".","(150 NM East of Mombasa, Kenya), Off Somalia","Majestic","Panama","95","Steaming","1","1",,"3"
"5008","11/2/2010","4:20","4",,"Boarded","Indonesia","Indonesia","850","3.9183","98.7817","2","1",".",".","Belawan Port, Indonesia (Port coordinates from other observations)","Libre","Panama","95","Berthed","1","3","1","2"
"5006","11/2/2010","12:37","2",,"Hijacked","Yemen","Yemen","679","13.5237","48.3193","1","1",".",".","Gulf of Aden","Or. Sirichainava 11","Thailand","800","Steaming","1","1","1","1"
"5009","11/3/2010","Unknown","-99",,"Hijacked","Internationa Waters (Indian Ocean)","Tanzania","510","-5.25","43.65","1","1",".",".","Off Mombasa, Kenya, off Somalia","Aly Zoulfecar","Comoros","581","Steaming","1","1","1","1"
"5010","11/3/2010","19:06","3",,"Boarded","Venezuela","Venezuela","101","10.2","-64.79","1","1",".",".","Bahia de Barcelonda Anchorage, Puerto Jose, Venezuela","Leyla K","Marshall Islands","983","Anchored","1","2","1","2"
"5011","11/5/2010","7:00","1",,"Boarded","Costa Rica","Costa Rica","94","9.9667","-83","1","1",".",".","Puerto Limon Anchorage, Costa Rica","APL Bogota","Antigua & Barbuda","58","Anchored",,"2","1","2"
"5012","11/5/2010","13:00","2",,,"Tanzania","Tanzania","510","-5.4","40.7167","1","1",".",".","(Around 52 NM East of Pemba Island, Off Tanzania), Off Somalia","Torm Kansas","Denmark","390","Steaming","1","1",,"-99"
"5013","11/5/2010","13:22","2",,"Boarded","Nigeria","Nigeria","475","4.6333","8.3733","1","1",".",".","10nm S of Parrot Island, Calabar, Nigeria","Pacific Supplier","Singapore","830","Steaming","1","1","1","2"
"5015","11/6/2010","19:53","3",,"Boarded","Indonesia","Indonesia","850","1.0167","106.6833","1","1",".",".","Around 40nm W of Kepulauan Tambelan, Indonesia","Mineral Hokkaido","Panama","95","Steaming","1","1","1","2"
"5014","11/6/2010","17:25","2",,"Fired Upon","Somalia","Somalia","520","-1.8","42.5167","1","1",".",".","Around 85 NM South of Kismayo, Off Somalia","SPS Infanta Cristina","Spain","230","Steaming","1","1",,"3"
"5017","11/7/2010","1:40","4",,"Boarded","Indonesia","Indonesia","850","1.7","101.45","1","1",".",".","Dumai Inner Anchorage, Indonesia","NCC Haiel","Panama","95","Anchored",,"2","1","2"
"5016","11/7/2010","23:28","3",,,"Nigeria","Nigeria","475","6","3.66","1","1",".",".","24 NM Off Lagos, Nigeria","Mol Valparaiso","Vanuatu","935","Steaming","1","1",,"-99"
"5018","11/8/2010","13:45","2",,"Fired Upon","Seychelles","Seychelles","591","-6.7167","51.25","1","1",".",".","Off Somalia","Gulf Coast","Bahamas","31","Steaming","1","1",,"3"
"5019","11/8/2010","4:00","4",,"Boarded","Brazil","Brazil","140","-1.5333","-48.75","2","1",".",".","Vila do Conde Anchorage, Brazil","Torm San Jacinto","Denmark","390","Anchored",,"2","1","2"
